[ 215000] Loss: 30.35917 time: (865.2, 365.4) vloss: 47.419 CER: 0.2069 NER: 0.2236 lr: 0.00064 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2126, B: 59.67
[ 220000] Loss: 30.06038 time: (864.8, 368.6) vloss: 47.116 CER: 0.2088 NER: 0.2252 lr: 0.00060 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2100, B: 59.97
[ 225000] Loss: 29.86081 time: (866.5, 365.6) vloss: 46.771 CER: 0.2072 NER: 0.2256 lr: 0.00056 bAcc: 2.5, bNER: 1000000.0000, bCER: 0.2074, B: 59.63
[ 230000] Loss: 28.88151 time: (866.2, 365.5) vloss: 46.332 CER: 0.2032 NER: 0.2207 lr: 0.00053 bAcc: 2.5, bNER: 1000000.0000, bCER: 0.2060, B: 60.84
[ 235000] Loss: 28.56918 time: (868.1, 365.1) vloss: 45.972 CER: 0.2023 NER: 0.2217 lr: 0.00049 bAcc: 2.6, bNER: 1000000.0000, bCER: 0.2043, B: 60.53
[ 240000] Loss: 27.85008 time: (866.0, 364.7) vloss: 45.802 CER: 0.2008 NER: 0.2189 lr: 0.00046 bAcc: 2.9, bNER: 1000000.0000, bCER: 0.2031, B: 60.77
[ 245000] Loss: 28.06493 time: (866.6, 365.1) vloss: 45.542 CER: 0.1981 NER: 0.2167 lr: 0.00044 bAcc: 2.9, bNER: 1000000.0000, bCER: 0.2027, B: 61.27
[ 250000] Loss: 27.20232 time: (865.9, 364.0) vloss: 44.853 CER: 0.1937 NER: 0.2110 lr: 0.00041 bAcc: 2.9, bNER: 1000000.0000, bCER: 0.2005, B: 62.19
[ 255000] Loss: 26.64696 time: (865.2, 366.4) vloss: 44.855 CER: 0.1933 NER: 0.2116 lr: 0.00038 bAcc: 2.9, bNER: 1000000.0000, bCER: 0.1991, B: 62.17
[ 260000] Loss: 26.28462 time: (863.9, 365.4) vloss: 44.416 CER: 0.1929 NER: 0.2098 lr: 0.00036 bAcc: 3.1, bNER: 1000000.0000, bCER: 0.1981, B: 62.67
[ 265000] Loss: 26.31796 time: (864.2, 367.2) vloss: 44.517 CER: 0.1942 NER: 0.2113 lr: 0.00034 bAcc: 3.1, bNER: 1000000.0000, bCER: 0.1949, B: 62.20
