[ 225000] Loss: 20.51137 time: (862.6, 331.7) vloss: 43.514 CER: 0.2256 NER: 0.2329 lr: 0.00056 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1966, B: 57.16
[ 230000] Loss: 20.28899 time: (864.1, 330.8) vloss: 43.283 CER: 0.2228 NER: 0.2294 lr: 0.00053 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1955, B: 57.78
[ 235000] Loss: 19.57441 time: (864.1, 331.3) vloss: 43.063 CER: 0.2203 NER: 0.2260 lr: 0.00049 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1936, B: 58.19
[ 240000] Loss: 19.19794 time: (863.1, 332.1) vloss: 42.623 CER: 0.2179 NER: 0.2225 lr: 0.00046 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1930, B: 58.58
[ 245000] Loss: 18.98264 time: (867.5, 332.1) vloss: 42.237 CER: 0.2171 NER: 0.2227 lr: 0.00044 bAcc: 4.4, bNER: 1000000.0000, bCER: 0.1917, B: 58.80
[ 250000] Loss: 18.05764 time: (863.7, 329.4) vloss: 41.894 CER: 0.2144 NER: 0.2209 lr: 0.00041 bAcc: 4.6, bNER: 1000000.0000, bCER: 0.1894, B: 59.21
[ 255000] Loss: 18.05744 time: (865.0, 329.4) vloss: 41.491 CER: 0.2121 NER: 0.2178 lr: 0.00038 bAcc: 5.0, bNER: 1000000.0000, bCER: 0.1867, B: 59.85
[ 260000] Loss: 17.11717 time: (863.9, 329.1) vloss: 41.353 CER: 0.2097 NER: 0.2141 lr: 0.00036 bAcc: 5.0, bNER: 1000000.0000, bCER: 0.1851, B: 60.33
[ 265000] Loss: 17.41471 time: (863.3, 328.7) vloss: 40.913 CER: 0.2083 NER: 0.2143 lr: 0.00034 bAcc: 5.2, bNER: 1000000.0000, bCER: 0.1834, B: 60.27
[ 270000] Loss: 16.40804 time: (864.6, 329.4) vloss: 40.622 CER: 0.2058 NER: 0.2110 lr: 0.00032 bAcc: 5.2, bNER: 1000000.0000, bCER: 0.1810, B: 60.99
[ 275000] Loss: 16.31652 time: (864.9, 330.1) vloss: 40.353 CER: 0.2016 NER: 0.2069 lr: 0.00030 bAcc: 5.3, bNER: 1000000.0000, bCER: 0.1790, B: 61.64
[ 280000] Loss: 15.81073 time: (865.4, 329.4) vloss: 40.123 CER: 0.2024 NER: 0.2072 lr: 0.00028 bAcc: 5.4, bNER: 1000000.0000, bCER: 0.1783, B: 61.48
[ 285000] Loss: 15.53441 time: (860.5, 330.0) vloss: 40.062 CER: 0.2020 NER: 0.2072 lr: 0.00026 bAcc: 5.7, bNER: 1000000.0000, bCER: 0.1776, B: 61.68
[ 290000] Loss: 15.00316 time: (862.4, 329.9) vloss: 40.073 CER: 0.2001 NER: 0.2027 lr: 0.00024 bAcc: 5.9, bNER: 1000000.0000, bCER: 0.1761, B: 62.33
[ 295000] Loss: 14.93403 time: (860.7, 329.7) vloss: 40.016 CER: 0.1982 NER: 0.2025 lr: 0.00023 bAcc: 6.1, bNER: 1000000.0000, bCER: 0.1750, B: 62.46
[ 300000] Loss: 14.40646 time: (862.8, 329.9) vloss: 39.813 CER: 0.1974 NER: 0.2013 lr: 0.00022 bAcc: 6.1, bNER: 1000000.0000, bCER: 0.1724, B: 62.63
[ 305000] Loss: 14.29246 time: (859.9, 329.5) vloss: 39.608 CER: 0.1962 NER: 0.2006 lr: 0.00020 bAcc: 6.1, bNER: 1000000.0000, bCER: 0.1718, B: 62.72
[ 310000] Loss: 13.71441 time: (862.9, 330.0) vloss: 39.500 CER: 0.1926 NER: 0.1964 lr: 0.00019 bAcc: 6.2, bNER: 1000000.0000, bCER: 0.1703, B: 63.46
[ 315000] Loss: 13.60552 time: (861.6, 330.4) vloss: 39.334 CER: 0.1916 NER: 0.1966 lr: 0.00018 bAcc: 6.6, bNER: 1000000.0000, bCER: 0.1694, B: 63.38
[ 320000] Loss: 13.28731 time: (865.2, 330.7) vloss: 39.238 CER: 0.1920 NER: 0.1971 lr: 0.00017 bAcc: 6.9, bNER: 1000000.0000, bCER: 0.1691, B: 63.50
[ 325000] Loss: 12.87420 time: (873.4, 332.2) vloss: 39.276 CER: 0.1905 NER: 0.1966 lr: 0.00016 bAcc: 6.9, bNER: 1000000.0000, bCER: 0.1686, B: 63.70
[ 330000] Loss: 12.78922 time: (880.0, 334.8) vloss: 39.431 CER: 0.1904 NER: 0.1942 lr: 0.00015 bAcc: 6.9, bNER: 1000000.0000, bCER: 0.1686, B: 63.94
[ 335000] Loss: 12.28465 time: (873.9, 331.5) vloss: 39.397 CER: 0.1898 NER: 0.1941 lr: 0.00014 bAcc: 6.9, bNER: 1000000.0000, bCER: 0.1674, B: 64.12
[ 340000] Loss: 12.43692 time: (867.5, 329.8) vloss: 39.388 CER: 0.1867 NER: 0.1908 lr: 0.00013 bAcc: 6.9, bNER: 1000000.0000, bCER: 0.1654, B: 64.59
[ 345000] Loss: 11.82943 time: (863.8, 333.6) vloss: 39.547 CER: 0.1874 NER: 0.1915 lr: 0.00012 bAcc: 7.0, bNER: 1000000.0000, bCER: 0.1650, B: 64.66
[ 350000] Loss: 12.01396 time: (862.2, 324.0) vloss: 39.350 CER: 0.1868 NER: 0.1905 lr: 0.00011 bAcc: 7.0, bNER: 1000000.0000, bCER: 0.1650, B: 64.58
[ 355000] Loss: 11.24195 time: (848.8, 323.1) vloss: 39.395 CER: 0.1864 NER: 0.1907 lr: 0.00011 bAcc: 7.1, bNER: 1000000.0000, bCER: 0.1643, B: 64.69
